scheme,instance,method,alpha,status,objective,f_true,feasible,u_at_xstar,covered_at_xstar,slack,x0,x1,x2,x3,x4
paper,0,cmicl,0.1,optimal,3.787544025329196,48.55474080859824,0,0.15957396026388676,0,-1.4452591914017958,894.6354146002434,1192.8472194669912,997.18,1.147074764318752,11.470747643187522
paper,0,nominal,0.1,optimal,3.7851309489705174,47.31808784991452,0,0.09621523247877367,0,-1.3557202357368539,893.4473056728197,1191.2630742304264,997.1800000000001,1.0906167026426379,10.906167026426381
paper,1,cmicl,0.1,optimal,58.639485961152296,48.765256001961376,0,6.106226635438361e-16,0,-1.2347439980386028,886.8425131471229,1182.456684196164,997.18,0.9962935930508596,17.598184039156315
paper,1,nominal,0.1,optimal,58.73270304979962,47.318087849914484,0,0.09621523247877367,0,-1.3557202357368823,893.4473056728197,1191.2630742304261,997.1800000000001,1.0906167026426377,10.906167026426381
paper,2,cmicl,0.1,optimal,46.136805416609114,48.58948319909502,0,0.13440142149691042,0,-1.4105168009049933,893.1408928244015,1190.8545237658686,997.18,1.1364639967515064,11.883839732907994
paper,2,nominal,0.1,optimal,46.14206753474604,47.31808784991452,0,0.09621523247877367,0,-1.3557202357368539,893.4473056728197,1191.2630742304264,997.1800000000001,1.0906167026426379,10.906167026426381
paper,3,cmicl,0.1,optimal,27.200022787277593,44.10599901075959,0,0.08414167956497026,0,-5.894000989240411,1096.8980000000001,923.8699234968759,997.18,0.5,38.20679118255266
paper,3,nominal,0.1,optimal,24.297912590640937,48.02450495050766,0,2.6790227440831726,1,9.046347875285392,1482.932,821.9519650777072,1348.12,1.2442858666632377,12.442858666632375
paper,4,cmicl,0.1,optimal,5.987899272426737,46.78392499620886,0,0.11504650051030091,0,-3.216075003791161,1096.8980000000001,1462.5306666666668,997.18,0.5,34.963396720053694
paper,4,nominal,0.1,optimal,5.978236194122227,46.008186031628576,0,0.1288635894188805,0,-2.5405272156522045,1096.8980000000001,1462.5306666666668,997.1800000000001,0.5,33.91656773791051
