outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs,frac,strength
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.01512773334980011,0.0015461712509758144,nominal,96,0,1042,0.6,0.5,0.75
Blood,dlt_only,0.875,0.33245498310218435,0.9895833333333334,0.10206207261596574,13.0952380952381,96,96,0.01512773334980011,0.0015461712509758144,nominal,96,0,1042,0.6,0.5,0.75
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.96875,0.17490598978639324,12.048192771084333,96,96,0.01512773334980011,0.0015461712509758144,nominal,96,0,1042,0.6,0.5,0.75
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.01512773334980011,0.0015461712509758144,nominal,96,0,1042,0.6,0.5,0.75
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.01512773334980011,0.0015461712509758144,nominal,96,0,1042,0.6,0.5,0.75
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.928525342216346,0.9582011685872592,11.579597586308823,96,96,0.01512773334980011,0.0015461712509758144,nominal,96,0,1042,0.6,0.5,0.75
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.96875,0.17490598978639324,38.80597014925374,96,96,0.01512773334980011,0.0015461712509758144,nominal,96,0,1042,0.6,0.5,0.75
Any_DLT,all_constraints,0.8863636363636364,0.3191878408444575,1.0,0.0,12.820512820512823,96,88,0.0602290133635203,0.014510735261682535,nominal,94,0,1042,0.6,0.5,0.75
Blood,all_constraints,0.875,0.3326141667278259,1.0,0.0,14.285714285714286,96,88,0.0602290133635203,0.014510735261682535,nominal,94,0,1042,0.6,0.5,0.75
Constitutional,all_constraints,0.9204545454545454,0.27213886368640305,0.9886363636363636,0.10660035817780522,7.407407407407414,96,88,0.0602290133635203,0.014510735261682535,nominal,94,0,1042,0.6,0.5,0.75
Infection,all_constraints,0.9090909090909091,0.28912724941310364,1.0,0.0,10.000000000000004,96,88,0.0602290133635203,0.014510735261682535,nominal,94,0,1042,0.6,0.5,0.75
Gastrointestinal,all_constraints,0.8977272727272727,0.30474306974563625,1.0,0.0,11.392405063291143,96,88,0.0602290133635203,0.014510735261682535,nominal,94,0,1042,0.6,0.5,0.75
Overall_Survival,all_constraints,10.741296636075175,1.810185479149017,11.876416620662258,1.146747871150296,10.567811531940446,96,88,0.0602290133635203,0.014510735261682535,nominal,94,0,1042,0.6,0.5,0.75
all_constraints,all_constraints,0.7613636363636364,0.4286926981732773,0.9886363636363636,0.10660035817780522,29.85074626865672,96,88,0.0602290133635203,0.014510735261682535,nominal,94,0,1042,0.6,0.5,0.75
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.015840234855810802,0.0019081064985904455,robust_reg,96,0,1042,0.6,0.5,0.75
Blood,dlt_only,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.015840234855810802,0.0019081064985904455,robust_reg,96,0,1042,0.6,0.5,0.75
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9479166666666666,0.22336148028967082,9.63855421686746,96,96,0.015840234855810802,0.0019081064985904455,robust_reg,96,0,1042,0.6,0.5,0.75
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.015840234855810802,0.0019081064985904455,robust_reg,96,0,1042,0.6,0.5,0.75
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.015840234855810802,0.0019081064985904455,robust_reg,96,0,1042,0.6,0.5,0.75
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.87512653758931,1.0233769348743251,11.08010439993918,96,96,0.015840234855810802,0.0019081064985904455,robust_reg,96,0,1042,0.6,0.5,0.75
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.9479166666666666,0.22336148028967082,35.820895522388064,96,96,0.015840234855810802,0.0019081064985904455,robust_reg,96,0,1042,0.6,0.5,0.75
Any_DLT,all_constraints,0.8863636363636364,0.3191878408444575,1.0,0.0,12.820512820512823,96,88,0.0713718831539154,0.057747361690723,robust_reg,94,0,1042,0.6,0.5,0.75
Blood,all_constraints,0.875,0.3326141667278259,1.0,0.0,14.285714285714286,96,88,0.0713718831539154,0.057747361690723,robust_reg,94,0,1042,0.6,0.5,0.75
Constitutional,all_constraints,0.9204545454545454,0.27213886368640305,0.9886363636363636,0.10660035817780522,7.407407407407414,96,88,0.0713718831539154,0.057747361690723,robust_reg,94,0,1042,0.6,0.5,0.75
